MW,KEGG,PathBank,WikiPathways,PFOCR
RBVNENAKUTUHCM,False,False,False,False
KMAKOBLIOCQGJP,False,False,False,
XGILAAMKEQUXLS,,,,
IENZCGNHSIMFJE,False,False,False,False
RSTKLPZEZYGQPY,,,,
JDWYRSDDJVCWPB,,,,False
QXAUTQFAWKKNLM,False,False,False,False
ZNRGQMMCGHDTEI,False,False,False,False
QRWRJDVVXAXGBT,False,False,False,False
SGZFJWQQBHYNNF,,False,False,False
XCHBYBKNFIOSBB,,False,,False
IGXUUWYVUGBMFT,False,False,False,False
BBZCPUCZKLTAJQ,False,False,False,False
JYGFTBXVXVMTGB,,False,,False
LPAGFVYQRIESJQ,False,False,False,
ZUDXFBWDXVNRKF,False,False,False,False
JSWZEAMFRNKZNL,False,False,False,False
QMGUOJYZJKLOLH,False,False,False,False
RTHNIWHULJBNTJ,False,False,False,False
PHMBUGRSZKDHNS,False,False,False,False
PYEMNABYODPRPP,False,False,False,False
UEOHDZULNTUKEK,False,False,False,False
DPVWJPVYOXKFRQ,False,False,False,False
QJQORSLQNXDVGE,False,False,False,False
VSJKWCGYPAHWDS,,False,False,
SSJQVDUAKDRWTA,,,,False
UCFGDBYHRUNTLO,,False,False,False
OLNJUISKUQQNIM,False,False,,False
PGNRLPTYNKQQDY,,False,,False
BHNHHSOHWZKFOX,False,False,False,False
DMCPFOBLJMLSNX,,,,False
ZFRKQXVRDFCRJG,,False,,
NLMQHXUGJIAKTH,False,False,False,False
LMIQERWZRIFWNZ,False,False,False,False
OBFAPCIUSYHFIE,,,,False
KQROHCSYOGBQGJ,False,False,False,False
QLWKTGDEPLRFAT,False,False,False,
QRHHXPIYYXPEMG,False,False,False,False
RPHLQSHHTJORHI,False,False,False,False
ZSWYXBSEVUNDFU,False,False,False,False
QSSMEVWVRIEBSR,False,False,False,False
FWPMSYUTOOUASJ,False,False,False,False
SIKJAQJRHWYJAI,,,,False
MVSQEPAOMLRIRW,False,False,False,False
IVYPNXXAYMYVSP,False,False,False,False
JFDDFGLNZWNJTK,False,False,False,False
IGGVVGHJSQSLFO,,,,False
WHOOUMGHGSPMGR,,,,False
SXOUIMVOMIGLHO,False,False,False,False
CGIGDMFJXJATDK,False,,False,
PCKPVGOLPKLUHR,,False,,
BXFFHSIDQOFMLE,False,False,,False
YEJCDKJIEMIWRQ,False,False,False,False
ZPXSCAKFGYXMGA,False,False,False,False
NWIBSHFKIJFRCO,False,False,False,False
KLPWJLBORRMFGK,False,False,False,
NNJXIAOPPYUVAX,,False,,False
IKBKZGMPCYNSLU,False,False,False,False
LREDECYEGMWOAR,False,False,False,
MBBOMCVGYCRMEA,,,,False
RRKTZKIUPZVBMF,False,False,,False
SFSFAWRKKRGBKI,False,False,False,False
QMGVPVSNSZLJIA,,False,,
ZOAMBXDOGPRZLP,,False,,
LDCYZAJDBXYCGN,,,,False
JTEJPPKMYBDEMY,,False,,
KVNPSKDDJARYKK,False,False,False,False
RYENLSMHLCNXJT,False,False,False,False
DMULVCHRPCFFGV,False,False,,
YKGQTGZOJCRHNO,False,False,False,False
AOHCBEAZXHZMOR,False,False,False,False
DRLFMBDRBRZALE,,,,
HAWFHRQOMIMGFR,False,False,False,False
MVAWJSIDNICKHF,,,,
DRKQFNYKSNWOTC,False,False,False,False
RBGZJJPNEDSXQH,False,False,False,False
LQPINJBBNVSTDE,False,False,False,False
ASUSBMNYRHGZIG,,,,False
NCIKQJBVUNUXLW,,,,
QVDSEJDULKLHCG,,False,False,False
QZAYGJVTTNCVMB,,,,
KQKPFRSPSRPDEB,False,False,False,
APJYDQYYACXCRM,,,,
JLSKPBDKNIXMBS,False,False,False,False
BSVABPABKQCTBP,False,False,False,False
SEWQEQSXDGJDGG,False,False,False,False
QAHZAHIPKNLGAS,False,False,False,False
YZJARFWVCIXVDT,False,False,False,False
YLWAQARRNQVEHD,False,False,False,False
UEKRHVIBSZVFQN,False,False,False,False
AEMFUIANPMSGQQ,False,False,False,False
MDFFNDBAEOHIDY,False,False,False,False
IBHSRCBKJMEBQB,False,False,False,False
MUMCCPUVOAUBAN,False,False,False,False
ZCTJIMXXSXQXRI,False,False,False,False
UYMYPMGPARAZNU,,False,False,False
LZJHNXHYKRKCDZ,False,False,False,False
RNSBFHHWMMKJAM,,False,False,False
JPXUJRDPZQUCNV,,False,False,False
CIUHLXZTZWTVFL,,False,False,False
SBVRPBAVNZNLKX,,False,False,False
INVGWHRKADIJHF,,False,False,False
YRYCIFUZSUMAAY,False,False,False,False
WETXYFNVBDLWIW,False,False,False,False
KTRLYLXLXTXHPM,False,False,False,False
HTAGIZQYGRLQQX,False,False,False,False
DVQVXTPSJBCBJI,,False,False,False
UYQRWUWLBSTWCM,,False,False,False
HRSIPKSSEVRSPG,False,False,False,False
NVOAXRBBRLDXSC,False,False,False,False
PAPMYQLKLNRZIR,False,False,False,False
AQASRZOCERRGBL,False,False,False,False
JWPGJSVJDAJRLW,False,False,,False
VASUQTGZAPZKFK,False,False,False,False
ZQSUAGVTKAZDJV,False,False,False,False
HRJQUAXWKYISJC,False,False,False,False
CEIXWJHURKEBMQ,False,False,False,False
AWJUIBRHMBBTKR,False,False,False,False
UITDBHSAZAFMFR,False,False,False,False
XUPKMHYGWVWELF,False,False,False,False
GEHUGSUAESFIIV,False,False,False,False
PNFBXEKHLUDPIM,False,False,False,False
LJVKMVSYTWPNGA,,False,False,False
KGPAYJZAMGEDIQ,False,False,False,
MNZZTIOCKJEHEP,False,False,False,False
IWKHGZDMTOKGQP,False,False,False,False
FSVJFNAIGNNGKK,False,False,False,False
BBVFHYCHEWCGBH,,False,False,
IBRKLUSXDYATLG,,False,False,False
MMPVUYPJIFYAEK,False,False,False,False
GVTRUVGBZQJVTF,,False,False,
LVVKXRQZSRUVPY,,False,False,False
WZRCQWQRFZITDX,,False,False,
RMRJXGBAOAMLHD,False,,False,
OROGSEYTTFOCAN,,,,
XYYVYLMBEZUESM,,False,False,False
MKXZASYAUGDDCJ,False,False,,
YQAUTKINOXBFCA,False,False,False,False
QRHQPCRIZNMZIZ,False,False,False,False
WVLOADHCBXTIJK,False,,False,
JAQUASYNZVUNQP,False,,,False
BQJCRHHNABKAKU,,,,
WAEXKFONHRHFBZ,,,,
GNJCUHZOSOYIEC,,,,
PFBSOANQDDTNGJ,,False,False,False
NETZHAKZCGBWSS,False,,False,False
UIQMVEYFGZJHCZ,False,False,False,False
UZHSEJADLWPNLE,False,,False,
DQCKKXVULJGBQN,False,,,
IHBSVVZENGBQDY,False,False,False,False
HKOIXWVRNLGFOR,,,,False
UQCNKQCJZOAFTQ,False,,False,
INYYVPJSBIVGPH,False,False,False,
FUXBKWOAAPDDGE,False,False,False,False
ULSIYEODSMZIPX,False,False,False,
YFMPSMITLLBENU,False,False,False,False
MTVWFVDWRVYDOR,,,False,False
ANOUKFYBOAKOIR,False,False,False,False
DIVQKHQLANKJQO,,,,
WJXQFVMTIGJBFX,False,False,False,False
ZNXXWTPQHVLMQT,False,False,False,False
LCAINUZZHIZKKS,False,False,False,False
BZYHBWCVRKSWDB,False,False,False,False
DIVDFFZHCJEHGG,False,False,,
WTDRDQBEARUVNC,,,,
VYFYYTLLBUKUHU,,,,
YRCWQPVGYLYSOX,False,False,False,False
UCTWMZQNUQWSLP,,,,
BLTFFSZSAZRUSC,False,False,False,False
HUYWAWARQUIQLE,False,False,False,False
RHCSKNNOAZULRK,,False,False,False
CJCSPKMFHVPWAR,False,False,False,
MODKMHXGCGKTLE,False,False,False,False
SASNBVQSOZSTPD,False,False,False,False
AXVZFRBSCNEKPQ,,False,False,
SFLSHLFXELFNJZ,,,,
YNYAYWLBAHXHLL,,,,
QHGUCRYDKWKLMG,,False,False,
BHHGXPLMPWCGHP,,,,False
DZGWFCGJZKJUFP,,,,
WRPWWVNUCXQDQV,,False,False,False
VFCGRXCCUHLLIP,False,False,False,False
YBHILYKTIRIUTE,,False,False,
VRSRXLJTYQVOHC,,False,False,False
RFKQJTRWODZPHF,False,False,False,False
IPABSWBNWMXCHM,,False,False,False
KNWVMRVOBAFFMH,,False,False,False
UXYJCYXWJGAKQY,,False,False,
KDFKJOFJHSVROC,,False,False,False
AEQDJSLRWYMAQI,,False,False,
GGUOCFNAWIODMF,False,False,False,False
IDBPHNDTYPBSNI,False,,False,False
DNTGGZPQPQTDQF,False,False,False,False
WYEHFWKAOXOVJD,False,False,False,False
PFDCOZXELJAUTR,False,False,False,False
STEPQTYSZVCJPV,False,False,False,False
FZERHIULMFGESH,False,False,,False
MFOUDYKPLGXPGO,False,False,False,False
PBMSWVPMRUJMPE,False,False,False,False
LFULEKSKNZEWOE,False,False,False,False
KEVKBVWYVMVEBG,False,False,False,False
GGCSSNBKKAUURC,False,,False,False
LXQOQPGNCGEELI,False,False,False,False
FTZQXOJYPFINKJ,False,False,False,False
SDYWXFYBZPNOFX,False,False,False,False
PAYRUJLWNCNPSJ,,False,False,False
IEJXVRYNEISIKR,False,False,False,False
DMBHHRLKUKUOEG,False,False,False,False
BZORFPDSXLZWJF,False,False,False,False
BHAAPTBBJKJZER,False,False,False,False
VLAXZGHHBIJLAD,False,False,False,False
BRBKOPJOKNSWSG,False,False,False,False
GUWUNALKOAAXJC,False,False,False,False
ZXNRTKGTQJPIJK,False,False,False,
KXDAEFPNCMNJSK,,False,False,
MMOXZBCLCQITDF,False,False,False,
CPTBDICYNRMXFX,False,False,False,False
JTVPZMFULRWINT,False,False,False,False
GCWCVCCEIQXUQU,False,False,False,False
FBOZXECLQNJBKD,,,False,
XTKVNQKOTKPCKM,False,False,False,False
KQPFLOCEYZIIRD,False,False,False,False
LOODYTDRRBLQNH,False,False,,False
SKZKKFZAGNVIMN,False,False,False,False
HBROZNQEVUILML,False,False,False,False
OEPADIDIUZTYOX,False,False,False,False
ZBCATMYQYDCTIZ,,,,False
YCIMNLLNPGFGHC,,,,False
QCXJEYYXVJIFCE,False,False,,False
UYQKZKVNYKOXHG,False,False,False,False
KEECCEWTUVWFCV,False,False,False,False
CGKSFNAGRBJNJO,False,False,False,False
RWZYAGGXGHYGMB,,,,False
WVMBPWMAQDVZCM,,False,False,False
YCCRFDDXAVMSLM,False,False,False,False
HIYAVKIYRIFSCZ,False,False,False,
ZDLBNXXKDMLZMF,False,False,False,False
HYYBABOKPJLUIN,False,,False,
KBOPZPXVLCULAV,False,False,False,
ALYNCZNDIQEVRV,,,,
ZCKAMNXUHHNZLN,False,False,False,False
KWTSXDURSIMDCE,False,False,False,False
URDNHJIVMYZFRT,False,False,False,False
MYWUZJCMWCOHBA,False,False,,
DRHKJLXJIQTDTD,False,False,False,False
WIGIZIANZCJQQY,False,False,False,
ZJJXGWJIGJFDTL,False,False,False,False
ZKUDBRCEOBOWLF,False,False,False,False
NDDAHWYSQHTHNT,False,,False,False
TYMRLRRVMHJFTF,False,False,False,
WIYOSEJTAADVPJ,False,False,False,False
